fips_code,February,March,April,May,June,July,August,September,October,November
1001.0,0.0,7.0,44.0,221.0,530.0,972.0,1348.0,1791.0,2159.0,2456.0
1003.0,0.0,19.0,174.0,290.0,663.0,3056.0,4422.0,5640.0,6940.0,7646.0
1005.0,0.0,0.0,39.0,167.0,322.0,550.0,628.0,896.0,1060.0,1128.0
1007.0,0.0,3.0,42.0,75.0,167.0,355.0,535.0,664.0,873.0,986.0
1009.0,0.0,5.0,37.0,62.0,204.0,685.0,1034.0,1629.0,2074.0,2549.0
1011.0,0.0,3.0,13.0,209.0,360.0,430.0,537.0,610.0,653.0,677.0
1013.0,0.0,1.0,53.0,411.0,604.0,739.0,837.0,917.0,1022.0,1087.0
1015.0,0.0,9.0,94.0,160.0,268.0,1409.0,2377.0,3569.0,4861.0,5608.0
1017.0,0.0,36.0,295.0,355.0,576.0,806.0,873.0,1179.0,1389.0,1570.0
1019.0,0.0,2.0,15.0,37.0,71.0,219.0,346.0,620.0,783.0,908.0
1021.0,0.0,11.0,53.0,101.0,206.0,660.0,1094.0,1609.0,1938.0,2078.0
1023.0,0.0,3.0,43.0,153.0,191.0,271.0,316.0,352.0,395.0,411.0
1025.0,0.0,0.0,32.0,144.0,264.0,473.0,923.0,1109.0,1394.0,1503.0
1027.0,0.0,2.0,21.0,27.0,53.0,194.0,356.0,592.0,772.0,850.0
1029.0,0.0,5.0,12.0,15.0,29.0,111.0,202.0,408.0,583.0,669.0
1031.0,0.0,0.0,111.0,236.0,352.0,689.0,961.0,1393.0,1865.0,2155.0
1033.0,0.0,4.0,29.0,184.0,363.0,1041.0,1435.0,1684.0,2151.0,2736.0
1035.0,0.0,0.0,9.0,41.0,178.0,358.0,436.0,538.0,577.0,645.0
1037.0,0.0,4.0,31.0,40.0,55.0,89.0,111.0,174.0,222.0,269.0
1039.0,0.0,2.0,36.0,80.0,308.0,680.0,816.0,1416.0,1886.0,2039.0
1041.0,0.0,1.0,19.0,75.0,122.0,276.0,396.0,545.0,620.0,675.0
1043.0,0.0,8.0,55.0,143.0,398.0,1075.0,1450.0,1922.0,2781.0,3701.0
