fips_code,February,March,April,May,June,July,August,September,October,November
1001.0,0.0,7.0,37.0,177.0,309.0,442.0,376.0,443.0,368.0,297.0
1003.0,0.0,19.0,155.0,116.0,373.0,2393.0,1366.0,1218.0,1300.0,706.0
1005.0,0.0,0.0,39.0,128.0,155.0,228.0,78.0,268.0,164.0,68.0
1007.0,0.0,3.0,39.0,33.0,92.0,188.0,180.0,129.0,209.0,113.0
1009.0,0.0,5.0,32.0,25.0,142.0,481.0,349.0,595.0,445.0,475.0
1011.0,0.0,3.0,10.0,196.0,151.0,70.0,107.0,73.0,43.0,24.0
1013.0,0.0,1.0,52.0,358.0,193.0,135.0,98.0,80.0,105.0,65.0
1015.0,0.0,9.0,85.0,66.0,108.0,1141.0,968.0,1192.0,1292.0,747.0
1017.0,0.0,36.0,259.0,60.0,221.0,230.0,67.0,306.0,210.0,181.0
1019.0,0.0,2.0,13.0,22.0,34.0,148.0,127.0,274.0,163.0,125.0
1021.0,0.0,11.0,42.0,48.0,105.0,454.0,434.0,515.0,329.0,140.0
1023.0,0.0,3.0,40.0,110.0,38.0,80.0,45.0,36.0,43.0,16.0
1025.0,0.0,0.0,32.0,112.0,120.0,209.0,450.0,186.0,285.0,109.0
1027.0,0.0,2.0,19.0,6.0,26.0,141.0,162.0,236.0,180.0,78.0
1029.0,0.0,5.0,7.0,3.0,14.0,82.0,91.0,206.0,175.0,86.0
1031.0,0.0,0.0,111.0,125.0,116.0,337.0,272.0,432.0,472.0,290.0
1033.0,0.0,4.0,25.0,155.0,179.0,678.0,394.0,249.0,467.0,585.0
1035.0,0.0,0.0,9.0,32.0,137.0,180.0,78.0,102.0,39.0,68.0
1037.0,0.0,4.0,27.0,9.0,15.0,34.0,22.0,63.0,48.0,47.0
1039.0,0.0,2.0,34.0,44.0,228.0,372.0,136.0,600.0,470.0,153.0
1041.0,0.0,1.0,18.0,56.0,47.0,154.0,120.0,149.0,75.0,55.0
1043.0,0.0,8.0,47.0,88.0,255.0,677.0,375.0,472.0,859.0,920.0
1045.0,0.0,0.0,27.0,88.0,126.0,508.0,268.0,401.0,488.0,269.0
1047.0,0.0,2.0,39.0,231.0,536.0,451.0,163.0,377.0,107.0,156.0
1049.0,0.0,4.0,73.0,171.0,328.0,1052.0,431.0,402.0,1197.0,551.0
1051.0,0.0,13.0,73.0,268.0,452.0,738.0,479.0,716.0,570.0,339.0
1053.0,0.0,1.0,27.0,35.0,195.0,685.0,271.0,406.0,146.0,115.0
1055.0,0.0,8.0,131.0,118.0,349.0,1251.0,815.0,903.0,937.0,836.0
1057.0,0.0,1.0,5.0,10.0,50.0,97.0,121.0,189.0,135.0,119.0
1059.0,0.0,3.0,55.0,498.0,287.0,319.0,377.0,255.0,326.0,200.0
1061.0,0.0,0.0,9.0,34.0,20.0,147.0,177.0,263.0,321.0,113.0
1063.0,0.0,3.0,52.0,39.0,70.0,75.0,39.0,28.0,45.0,24.0
1065.0,0.0,1.0,46.0,126.0,112.0,161.0,83.0,124.0,140.0,80.0
1067.0,0.0,0.0,24.0,56.0,49.0,104.0,95.0,186.0,230.0,71.0
1069.0,0.0,9.0,81.0,130.0,204.0,818.0,596.0,1116.0,1346.0,461.0
1071.0,0.0,8.0,41.0,29.0,132.0,539.0,526.0,336.0,710.0,398.0
1073.0,0.0,270.0,616.0,951.0,2373.0,6984.0,4678.0,4349.0,4064.0,3599.0
1075.0,0.0,1.0,10.0,15.0,45.0,120.0,82.0,109.0,148.0,54.0
1077.0,0.0,12.0,26.0,126.0,246.0,604.0,397.0,348.0,706.0,794.0
1079.0,0.0,3.0,9.0,38.0,50.0,195.0,168.0,173.0,280.0,160.0
1081.0,0.0,75.0,319.0,154.0,619.0,1263.0,918.0,2669.0,685.0,510.0
1083.0,0.0,22.0,22.0,62.0,297.0,743.0,501.0,510.0,874.0,622.0
1085.0,0.0,1.0,64.0,181.0,211.0,89.0,54.0,59.0,67.0,34.0
1087.0,0.0,1.0,36.0,45.0,84.0,134.0,96.0,87.0,75.0,96.0
1089.0,0.0,99.0,128.0,112.0,682.0,3699.0,1538.0,1747.0,1675.0,1625.0
1091.0,0.0,4.0,45.0,121.0,107.0,227.0,121.0,103.0,333.0,69.0
1093.0,0.0,9.0,66.0,47.0,78.0,323.0,193.0,260.0,145.0,155.0
1095.0,0.0,7.0,310.0,376.0,802.0,1328.0,660.0,500.0,554.0,706.0
1097.0,0.0,52.0,1006.0,1181.0,1395.0,4450.0,3959.0,1515.0,3703.0,1263.0
1099.0,0.0,1.0,12.0,27.0,154.0,190.0,59.0,149.0,75.0,65.0
1101.0,0.0,29.0,308.0,1373.0,2078.0,2259.0,1703.0,1144.0,1760.0,942.0
1103.0,0.0,20.0,48.0,212.0,675.0,1174.0,682.0,538.0,1125.0,859.0
1105.0,0.0,0.0,9.0,30.0,96.0,282.0,61.0,65.0,61.0,35.0
1107.0,0.0,4.0,44.0,68.0,88.0,151.0,178.0,139.0,244.0,157.0
1109.0,0.0,4.0,63.0,136.0,193.0,244.0,184.0,396.0,159.0,115.0
1111.0,0.0,2.0,60.0,65.0,42.0,215.0,94.0,194.0,187.0,91.0
1113.0,0.0,1.0,56.0,114.0,298.0,692.0,387.0,242.0,214.0,69.0
1115.0,0.0,15.0,57.0,51.0,169.0,859.0,500.0,728.0,827.0,530.0
1117.0,0.0,88.0,232.0,197.0,539.0,1855.0,1184.0,2069.0,1552.0,1295.0
1119.0,0.0,1.0,63.0,160.0,51.0,85.0,36.0,38.0,53.0,46.0
1121.0,0.0,7.0,54.0,52.0,144.0,590.0,456.0,887.0,401.0,529.0
1123.0,0.0,12.0,273.0,142.0,133.0,238.0,132.0,243.0,212.0,207.0
1125.0,0.0,29.0,179.0,575.0,1181.0,1841.0,1325.0,3899.0,1705.0,992.0
1127.0,0.0,32.0,64.0,258.0,489.0,598.0,382.0,546.0,330.0,579.0
1129.0,0.0,3.0,31.0,36.0,28.0,203.0,201.0,58.0,191.0,118.0
1131.0,0.0,3.0,63.0,82.0,130.0,119.0,82.0,53.0,41.0,32.0
1133.0,0.0,2.0,13.0,75.0,139.0,189.0,127.0,206.0,213.0,166.0
2013.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,6.0
2016.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,91.0,6.0
2020.0,0.0,61.0,118.0,50.0,211.0,1219.0,1342.0,1413.0,3985.0,3580.0
2050.0,0.0,0.0,1.0,2.0,6.0,10.0,40.0,55.0,288.0,487.0
2060.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,-10.0,0.0
2068.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,24.0,7.0
2070.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,52.0,20.0
2090.0,0.0,30.0,51.0,4.0,59.0,254.0,242.0,498.0,694.0,987.0
2100.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,8.0,3.0
2232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110.0,0.0,5.0,22.0,6.0,11.0,43.0,88.0,119.0,286.0,151.0
2122.0,0.0,7.0,12.0,26.0,101.0,147.0,117.0,44.0,488.0,752.0
2130.0,0.0,13.0,3.0,0.0,5.0,13.0,12.0,4.0,36.0,79.0
2150.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,10.0,74.0,59.0
2164.0,0.0,121.0,234.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2170.0,0.0,3.0,18.0,8.0,52.0,186.0,205.0,152.0,272.0,1391.0
2180.0,0.0,0.0,1.0,2.0,4.0,10.0,24.0,32.0,60.0,29.0
2185.0,0.0,0.0,0.0,1.0,3.0,9.0,26.0,93.0,143.0,105.0
2188.0,0.0,0.0,0.0,2.0,2.0,24.0,38.0,52.0,139.0,50.0
2195.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,13.0,3.0
2201.0,0.0,0.0,2.0,0.0,0.0,3.0,20.0,6.0,4.0,11.0
2220.0,0.0,0.0,1.0,1.0,10.0,9.0,17.0,15.0,3.0,63.0
2240.0,0.0,0.0,1.0,2.0,2.0,9.0,4.0,10.0,59.0,69.0
2261.0,0.0,0.0,0.0,0.0,3.0,41.0,29.0,4.0,27.0,110.0
2280.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,2.0,6.0,0.0
2282.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,6.0,5.0,12.0
2290.0,0.0,0.0,1.0,0.0,2.0,42.0,26.0,10.0,39.0,14.0
4001.0,0.0,16.0,433.0,1075.0,813.0,657.0,344.0,216.0,449.0,388.0
4003.0,0.0,4.0,35.0,35.0,540.0,889.0,313.0,95.0,293.0,501.0
4005.0,0.0,81.0,405.0,665.0,734.0,1062.0,377.0,842.0,1209.0,943.0
4007.0,0.0,1.0,12.0,18.0,261.0,517.0,297.0,240.0,637.0,379.0
4009.0,0.0,2.0,14.0,16.0,64.0,355.0,263.0,137.0,395.0,429.0
4011.0,0.0,1.0,1.0,4.0,12.0,37.0,3.0,1.0,43.0,26.0
4012.0,0.0,2.0,12.0,64.0,264.0,127.0,29.0,46.0,83.0,49.0
4013.0,1.0,787.0,3184.0,5843.0,38777.0,68701.0,16435.0,8128.0,16905.0,16196.0
4015.0,0.0,7.0,110.0,279.0,675.0,1847.0,697.0,389.0,436.0,665.0
4017.0,0.0,91.0,621.0,1154.0,1759.0,1577.0,396.0,203.0,693.0,648.0
4019.0,0.0,202.0,1039.0,1127.0,5636.0,8163.0,5054.0,4407.0,2970.0,4204.0
4021.0,0.0,62.0,335.0,466.0,2711.0,4416.0,1560.0,1092.0,1475.0,1515.0
4023.0,0.0,2.0,31.0,297.0,1441.0,828.0,129.0,121.0,195.0,247.0
4025.0,0.0,21.0,58.0,218.0,484.0,952.0,578.0,255.0,456.0,548.0
4027.0,0.0,9.0,76.0,1020.0,5120.0,4655.0,1350.0,500.0,1200.0,1306.0
5001.0,0.0,1.0,1.0,4.0,22.0,161.0,94.0,143.0,283.0,129.0
5003.0,0.0,1.0,14.0,4.0,52.0,159.0,158.0,48.0,127.0,116.0
5005.0,0.0,1.0,4.0,7.0,8.0,42.0,76.0,228.0,383.0,340.0
5007.0,0.0,38.0,64.0,476.0,2145.0,1735.0,906.0,1335.0,1810.0,1776.0
5009.0,0.0,1.0,4.0,1.0,20.0,131.0,208.0,387.0,336.0,275.0
5011.0,0.0,4.0,8.0,10.0,30.0,86.0,157.0,47.0,31.0,19.0
5013.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,21.0,47.0
5015.0,0.0,0.0,5.0,19.0,144.0,163.0,138.0,241.0,329.0,132.0
5017.0,0.0,1.0,8.0,6.0,119.0,372.0,456.0,45.0,48.0,35.0
5019.0,0.0,24.0,6.0,9.0,17.0,96.0,81.0,124.0,163.0,163.0
5021.0,0.0,0.0,3.0,1.0,50.0,48.0,80.0,132.0,196.0,170.0
5023.0,0.0,61.0,12.0,0.0,12.0,93.0,81.0,79.0,137.0,123.0
5025.0,0.0,5.0,6.0,8.0,6.0,38.0,73.0,50.0,68.0,47.0
5027.0,0.0,1.0,12.0,10.0,60.0,101.0,111.0,205.0,245.0,125.0
5029.0,0.0,1.0,12.0,1.0,41.0,79.0,72.0,67.0,86.0,141.0
5031.0,0.0,8.0,66.0,146.0,231.0,637.0,781.0,1207.0,1745.0,1172.0
5033.0,0.0,1.0,3.0,25.0,130.0,355.0,407.0,544.0,683.0,498.0
5035.0,0.0,17.0,170.0,193.0,366.0,426.0,471.0,327.0,543.0,366.0
5037.0,0.0,1.0,16.0,35.0,33.0,72.0,122.0,174.0,159.0,63.0
5039.0,0.0,0.0,1.0,0.0,9.0,46.0,71.0,39.0,15.0,51.0
5041.0,0.0,2.0,14.0,3.0,28.0,95.0,101.0,57.0,124.0,55.0
5043.0,0.0,1.0,15.0,4.0,45.0,90.0,149.0,55.0,81.0,71.0
5045.0,0.0,36.0,40.0,26.0,375.0,698.0,518.0,873.0,934.0,600.0
5047.0,0.0,0.0,2.0,2.0,17.0,83.0,62.0,127.0,276.0,91.0
5049.0,0.0,0.0,1.0,6.0,5.0,15.0,43.0,107.0,166.0,91.0
5051.0,0.0,31.0,85.0,20.0,112.0,566.0,614.0,521.0,671.0,580.0
