Version #9: 8/7/2020,,,,,,,,,,,,,,,,,,
"Description: Counties with accessible data (denoted with ""X"") from the datasets listed in the column headings",,,,,,,,,,,,,,,,,,
County id,County,State,Country,JHU,NYT: Case Counts,University of Washington,US Census Bureau: Demographic Estimates,Corona Data Scraper,Google,Apple,IBM Weather,NYT: All Cause Mortality,PlaceIQ,US Bureau of Labor Statistics,Realtor.com,Bureau of Economic Analysis,Opportunity Insights,US CDC: Select Demographic Characteristics
Autauga_Alabama_UnitedStates,Autauga,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Baldwin_Alabama_UnitedStates,Baldwin,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Barbour_Alabama_UnitedStates,Barbour,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Bibb_Alabama_UnitedStates,Bibb,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Blount_Alabama_UnitedStates,Blount,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Bullock_Alabama_UnitedStates,Bullock,Alabama,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Butler_Alabama_UnitedStates,Butler,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Calhoun_Alabama_UnitedStates,Calhoun,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Chambers_Alabama_UnitedStates,Chambers,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Cherokee_Alabama_UnitedStates,Cherokee,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Chilton_Alabama_UnitedStates,Chilton,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Choctaw_Alabama_UnitedStates,Choctaw,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Clarke_Alabama_UnitedStates,Clarke,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Clay_Alabama_UnitedStates,Clay,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Cleburne_Alabama_UnitedStates,Cleburne,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Coffee_Alabama_UnitedStates,Coffee,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Colbert_Alabama_UnitedStates,Colbert,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Conecuh_Alabama_UnitedStates,Conecuh,Alabama,United States,X,X,,X,X,X,X,X,,,X,,X,X,X
Coosa_Alabama_UnitedStates,Coosa,Alabama,United States,X,X,,X,X,X,,X,,,X,,X,X,X
Covington_Alabama_UnitedStates,Covington,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Crenshaw_Alabama_UnitedStates,Crenshaw,Alabama,United States,X,X,,X,X,X,,X,,X,X,,X,X,X
Cullman_Alabama_UnitedStates,Cullman,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Dale_Alabama_UnitedStates,Dale,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
Dallas_Alabama_UnitedStates,Dallas,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
DeKalb_Alabama_UnitedStates,DeKalb,Alabama,United States,X,X,,X,X,X,X,X,,X,X,,X,X,X
Elmore_Alabama_UnitedStates,Elmore,Alabama,United States,X,X,,X,X,X,X,X,,X,X,X,X,X,X
