,dates,Minnesota_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Minnesota_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Minnesota_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Minnesota_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Minnesota_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Minnesota_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Minnesota_UnitedStates.CTP_CovidCases_Black.data,Minnesota_UnitedStates.CTP_CovidCases_Black.missing,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Massachusetts_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Massachusetts_UnitedStates.CTP_CovidCases_Black.data,Massachusetts_UnitedStates.CTP_CovidCases_Black.missing,Nebraska_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Nebraska_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Nebraska_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Nebraska_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Nebraska_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Nebraska_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Nebraska_UnitedStates.CTP_CovidCases_Black.data,Nebraska_UnitedStates.CTP_CovidCases_Black.missing,Maryland_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Maryland_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Maryland_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Maryland_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Maryland_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Maryland_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Maryland_UnitedStates.CTP_CovidCases_Black.data,Maryland_UnitedStates.CTP_CovidCases_Black.missing,Missouri_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Missouri_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Missouri_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Missouri_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Missouri_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Missouri_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Missouri_UnitedStates.CTP_CovidCases_Black.data,Missouri_UnitedStates.CTP_CovidCases_Black.missing,Nevada_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Nevada_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Nevada_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Nevada_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Nevada_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Nevada_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Nevada_UnitedStates.CTP_CovidCases_Black.data,Nevada_UnitedStates.CTP_CovidCases_Black.missing,Maine_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Maine_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Maine_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Maine_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Maine_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Maine_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Maine_UnitedStates.CTP_CovidCases_Black.data,Maine_UnitedStates.CTP_CovidCases_Black.missing,Mississippi_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Mississippi_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Mississippi_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Mississippi_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Mississippi_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Mississippi_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Mississippi_UnitedStates.CTP_CovidCases_Black.data,Mississippi_UnitedStates.CTP_CovidCases_Black.missing,Montana_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Montana_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Montana_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Montana_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Montana_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Montana_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Montana_UnitedStates.CTP_CovidCases_Black.data,Montana_UnitedStates.CTP_CovidCases_Black.missing,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,NewHampshire_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,NewHampshire_UnitedStates.CTP_CovidCases_Black.data,NewHampshire_UnitedStates.CTP_CovidCases_Black.missing
0,2020-01-01,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-02,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-03,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-04,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-05,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-06,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-07,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-08,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-09,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-10,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-11,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-12,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
