,dates,Ohio_UnitedStates.JHU_ConfirmedCases.data,Ohio_UnitedStates.JHU_ConfirmedCases.missing,Ohio_UnitedStates.CTP_CovidCases_AIAN.data,Ohio_UnitedStates.CTP_CovidCases_AIAN.missing,Ohio_UnitedStates.CTP_CovidCases_Asian.data,Ohio_UnitedStates.CTP_CovidCases_Asian.missing,Ohio_UnitedStates.JHU_ConfirmedDeaths.data,Ohio_UnitedStates.JHU_ConfirmedDeaths.missing,Pennsylvania_UnitedStates.JHU_ConfirmedCases.data,Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing,Pennsylvania_UnitedStates.CTP_CovidCases_AIAN.data,Pennsylvania_UnitedStates.CTP_CovidCases_AIAN.missing,Pennsylvania_UnitedStates.CTP_CovidCases_Asian.data,Pennsylvania_UnitedStates.CTP_CovidCases_Asian.missing,Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data,Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing,RhodeIsland_UnitedStates.JHU_ConfirmedCases.data,RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing,RhodeIsland_UnitedStates.CTP_CovidCases_AIAN.data,RhodeIsland_UnitedStates.CTP_CovidCases_AIAN.missing,RhodeIsland_UnitedStates.CTP_CovidCases_Asian.data,RhodeIsland_UnitedStates.CTP_CovidCases_Asian.missing,RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data,RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing,Oklahoma_UnitedStates.JHU_ConfirmedCases.data,Oklahoma_UnitedStates.JHU_ConfirmedCases.missing,Oklahoma_UnitedStates.CTP_CovidCases_AIAN.data,Oklahoma_UnitedStates.CTP_CovidCases_AIAN.missing,Oklahoma_UnitedStates.CTP_CovidCases_Asian.data,Oklahoma_UnitedStates.CTP_CovidCases_Asian.missing,Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data,Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing,Oregon_UnitedStates.JHU_ConfirmedCases.data,Oregon_UnitedStates.JHU_ConfirmedCases.missing,Oregon_UnitedStates.CTP_CovidCases_AIAN.data,Oregon_UnitedStates.CTP_CovidCases_AIAN.missing,Oregon_UnitedStates.CTP_CovidCases_Asian.data,Oregon_UnitedStates.CTP_CovidCases_Asian.missing,Oregon_UnitedStates.JHU_ConfirmedDeaths.data,Oregon_UnitedStates.JHU_ConfirmedDeaths.missing,NorthDakota_UnitedStates.JHU_ConfirmedCases.data,NorthDakota_UnitedStates.JHU_ConfirmedCases.missing,NorthDakota_UnitedStates.CTP_CovidCases_AIAN.data,NorthDakota_UnitedStates.CTP_CovidCases_AIAN.missing,NorthDakota_UnitedStates.CTP_CovidCases_Asian.data,NorthDakota_UnitedStates.CTP_CovidCases_Asian.missing,NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data,NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing,NewMexico_UnitedStates.JHU_ConfirmedCases.data,NewMexico_UnitedStates.JHU_ConfirmedCases.missing,NewMexico_UnitedStates.CTP_CovidCases_AIAN.data,NewMexico_UnitedStates.CTP_CovidCases_AIAN.missing,NewMexico_UnitedStates.CTP_CovidCases_Asian.data,NewMexico_UnitedStates.CTP_CovidCases_Asian.missing,NewMexico_UnitedStates.JHU_ConfirmedDeaths.data,NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing,NewYork_UnitedStates.JHU_ConfirmedCases.data,NewYork_UnitedStates.JHU_ConfirmedCases.missing,NewYork_UnitedStates.CTP_CovidCases_AIAN.data,NewYork_UnitedStates.CTP_CovidCases_AIAN.missing,NewYork_UnitedStates.CTP_CovidCases_Asian.data,NewYork_UnitedStates.CTP_CovidCases_Asian.missing,NewYork_UnitedStates.JHU_ConfirmedDeaths.data,NewYork_UnitedStates.JHU_ConfirmedDeaths.missing,NewJersey_UnitedStates.JHU_ConfirmedCases.data,NewJersey_UnitedStates.JHU_ConfirmedCases.missing,NewJersey_UnitedStates.CTP_CovidCases_AIAN.data,NewJersey_UnitedStates.CTP_CovidCases_AIAN.missing,NewJersey_UnitedStates.CTP_CovidCases_Asian.data,NewJersey_UnitedStates.CTP_CovidCases_Asian.missing,NewJersey_UnitedStates.JHU_ConfirmedDeaths.data,NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing,NorthCarolina_UnitedStates.JHU_ConfirmedCases.data,NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing,NorthCarolina_UnitedStates.CTP_CovidCases_AIAN.data,NorthCarolina_UnitedStates.CTP_CovidCases_AIAN.missing,NorthCarolina_UnitedStates.CTP_CovidCases_Asian.data,NorthCarolina_UnitedStates.CTP_CovidCases_Asian.missing,NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data,NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing
0,2020-01-01,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-02,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-03,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-04,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-05,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-06,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-07,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-08,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-09,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-10,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
0,2020-01-11,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0,0.0,0,0.0,100,0.0,100,0.0,0
