,dates,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,SouthCarolina_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,SouthCarolina_UnitedStates.CTP_CovidCases_Black.data,SouthCarolina_UnitedStates.CTP_CovidCases_Black.missing,Wisconson_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Wisconson_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Wisconson_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Wisconson_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Wisconson_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Wisconson_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Wisconson_UnitedStates.CTP_CovidCases_Black.data,Wisconson_UnitedStates.CTP_CovidCases_Black.missing,Utah_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Utah_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Utah_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Utah_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Utah_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Utah_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Utah_UnitedStates.CTP_CovidCases_Black.data,Utah_UnitedStates.CTP_CovidCases_Black.missing,Vermont_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Vermont_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Vermont_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Vermont_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Vermont_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Vermont_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Vermont_UnitedStates.CTP_CovidCases_Black.data,Vermont_UnitedStates.CTP_CovidCases_Black.missing,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,WestVirginia_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,WestVirginia_UnitedStates.CTP_CovidCases_Black.data,WestVirginia_UnitedStates.CTP_CovidCases_Black.missing,Tennessee_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Tennessee_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Tennessee_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Tennessee_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Tennessee_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Tennessee_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Tennessee_UnitedStates.CTP_CovidCases_Black.data,Tennessee_UnitedStates.CTP_CovidCases_Black.missing,Washington_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Washington_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Washington_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Washington_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Washington_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Washington_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Washington_UnitedStates.CTP_CovidCases_Black.data,Washington_UnitedStates.CTP_CovidCases_Black.missing,Wyoming_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Wyoming_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Wyoming_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Wyoming_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Wyoming_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Wyoming_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Wyoming_UnitedStates.CTP_CovidCases_Black.data,Wyoming_UnitedStates.CTP_CovidCases_Black.missing,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,SouthDakota_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,SouthDakota_UnitedStates.CTP_CovidCases_Black.data,SouthDakota_UnitedStates.CTP_CovidCases_Black.missing,Virginia_UnitedStates.CTP_CovidCases_EthnicityUnknown.data,Virginia_UnitedStates.CTP_CovidCases_EthnicityUnknown.missing,Virginia_UnitedStates.CTP_CovidCases_EthnicityHispanic.data,Virginia_UnitedStates.CTP_CovidCases_EthnicityHispanic.missing,Virginia_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.data,Virginia_UnitedStates.CTP_CovidCases_EthnicityNonHispanic.missing,Virginia_UnitedStates.CTP_CovidCases_Black.data,Virginia_UnitedStates.CTP_CovidCases_Black.missing
0,2020-01-01,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-02,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-03,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-04,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-05,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-06,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-07,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-08,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-09,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-10,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-11,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-12,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
