,dates,SouthCarolina_UnitedStates.CTP_CovidCases_Multiracial.data,SouthCarolina_UnitedStates.CTP_CovidCases_Multiracial.missing,SouthCarolina_UnitedStates.CTP_CovidCases_Other.data,SouthCarolina_UnitedStates.CTP_CovidCases_Other.missing,SouthCarolina_UnitedStates.CTP_CovidCases_LatinX.data,SouthCarolina_UnitedStates.CTP_CovidCases_LatinX.missing,SouthCarolina_UnitedStates.CTP_CovidCases_NHPI.data,SouthCarolina_UnitedStates.CTP_CovidCases_NHPI.missing,Wisconson_UnitedStates.CTP_CovidCases_Multiracial.data,Wisconson_UnitedStates.CTP_CovidCases_Multiracial.missing,Wisconson_UnitedStates.CTP_CovidCases_Other.data,Wisconson_UnitedStates.CTP_CovidCases_Other.missing,Wisconson_UnitedStates.CTP_CovidCases_LatinX.data,Wisconson_UnitedStates.CTP_CovidCases_LatinX.missing,Wisconson_UnitedStates.CTP_CovidCases_NHPI.data,Wisconson_UnitedStates.CTP_CovidCases_NHPI.missing,Utah_UnitedStates.CTP_CovidCases_Multiracial.data,Utah_UnitedStates.CTP_CovidCases_Multiracial.missing,Utah_UnitedStates.CTP_CovidCases_Other.data,Utah_UnitedStates.CTP_CovidCases_Other.missing,Utah_UnitedStates.CTP_CovidCases_LatinX.data,Utah_UnitedStates.CTP_CovidCases_LatinX.missing,Utah_UnitedStates.CTP_CovidCases_NHPI.data,Utah_UnitedStates.CTP_CovidCases_NHPI.missing,Vermont_UnitedStates.CTP_CovidCases_Multiracial.data,Vermont_UnitedStates.CTP_CovidCases_Multiracial.missing,Vermont_UnitedStates.CTP_CovidCases_Other.data,Vermont_UnitedStates.CTP_CovidCases_Other.missing,Vermont_UnitedStates.CTP_CovidCases_LatinX.data,Vermont_UnitedStates.CTP_CovidCases_LatinX.missing,Vermont_UnitedStates.CTP_CovidCases_NHPI.data,Vermont_UnitedStates.CTP_CovidCases_NHPI.missing,WestVirginia_UnitedStates.CTP_CovidCases_Multiracial.data,WestVirginia_UnitedStates.CTP_CovidCases_Multiracial.missing,WestVirginia_UnitedStates.CTP_CovidCases_Other.data,WestVirginia_UnitedStates.CTP_CovidCases_Other.missing,WestVirginia_UnitedStates.CTP_CovidCases_LatinX.data,WestVirginia_UnitedStates.CTP_CovidCases_LatinX.missing,WestVirginia_UnitedStates.CTP_CovidCases_NHPI.data,WestVirginia_UnitedStates.CTP_CovidCases_NHPI.missing,Tennessee_UnitedStates.CTP_CovidCases_Multiracial.data,Tennessee_UnitedStates.CTP_CovidCases_Multiracial.missing,Tennessee_UnitedStates.CTP_CovidCases_Other.data,Tennessee_UnitedStates.CTP_CovidCases_Other.missing,Tennessee_UnitedStates.CTP_CovidCases_LatinX.data,Tennessee_UnitedStates.CTP_CovidCases_LatinX.missing,Tennessee_UnitedStates.CTP_CovidCases_NHPI.data,Tennessee_UnitedStates.CTP_CovidCases_NHPI.missing,Washington_UnitedStates.CTP_CovidCases_Multiracial.data,Washington_UnitedStates.CTP_CovidCases_Multiracial.missing,Washington_UnitedStates.CTP_CovidCases_Other.data,Washington_UnitedStates.CTP_CovidCases_Other.missing,Washington_UnitedStates.CTP_CovidCases_LatinX.data,Washington_UnitedStates.CTP_CovidCases_LatinX.missing,Washington_UnitedStates.CTP_CovidCases_NHPI.data,Washington_UnitedStates.CTP_CovidCases_NHPI.missing,Wyoming_UnitedStates.CTP_CovidCases_Multiracial.data,Wyoming_UnitedStates.CTP_CovidCases_Multiracial.missing,Wyoming_UnitedStates.CTP_CovidCases_Other.data,Wyoming_UnitedStates.CTP_CovidCases_Other.missing,Wyoming_UnitedStates.CTP_CovidCases_LatinX.data,Wyoming_UnitedStates.CTP_CovidCases_LatinX.missing,Wyoming_UnitedStates.CTP_CovidCases_NHPI.data,Wyoming_UnitedStates.CTP_CovidCases_NHPI.missing,SouthDakota_UnitedStates.CTP_CovidCases_Multiracial.data,SouthDakota_UnitedStates.CTP_CovidCases_Multiracial.missing,SouthDakota_UnitedStates.CTP_CovidCases_Other.data,SouthDakota_UnitedStates.CTP_CovidCases_Other.missing,SouthDakota_UnitedStates.CTP_CovidCases_LatinX.data,SouthDakota_UnitedStates.CTP_CovidCases_LatinX.missing,SouthDakota_UnitedStates.CTP_CovidCases_NHPI.data,SouthDakota_UnitedStates.CTP_CovidCases_NHPI.missing,Virginia_UnitedStates.CTP_CovidCases_Multiracial.data,Virginia_UnitedStates.CTP_CovidCases_Multiracial.missing,Virginia_UnitedStates.CTP_CovidCases_Other.data,Virginia_UnitedStates.CTP_CovidCases_Other.missing,Virginia_UnitedStates.CTP_CovidCases_LatinX.data,Virginia_UnitedStates.CTP_CovidCases_LatinX.missing,Virginia_UnitedStates.CTP_CovidCases_NHPI.data,Virginia_UnitedStates.CTP_CovidCases_NHPI.missing
0,2020-01-01,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-02,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-03,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-04,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-05,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-06,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-07,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-08,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-09,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-10,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-11,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-12,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-13,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
0,2020-01-14,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
