,fips_code,county,state,c3_data_id
2,51001.0,Accomack,Virginia,Accomack_Virginia_UnitedStates
4,19001.0,Adair,Iowa,Adair_Iowa_UnitedStates
5,21001.0,Adair,Kentucky,Adair_Kentucky_UnitedStates
6,29001.0,Adair,Missouri,Adair_Missouri_UnitedStates
7,40001.0,Adair,Oklahoma,Adair_Oklahoma_UnitedStates
9,16003.0,Adams,Idaho,Adams_Idaho_UnitedStates
10,17001.0,Adams,Illinois,Adams_Illinois_UnitedStates
12,19003.0,Adams,Iowa,Adams_Iowa_UnitedStates
13,28001.0,Adams,Mississippi,Adams_Mississippi_UnitedStates
15,38001.0,Adams,NorthDakota,Adams_NorthDakota_UnitedStates
16,39001.0,Adams,Ohio,Adams_Ohio_UnitedStates
19,55001.0,Adams,Wisconsin,Adams_Wisconsin_UnitedStates
20,50001.0,Addison,Vermont,Addison_Vermont_UnitedStates
22,27001.0,Aitkin,Minnesota,Aitkin_Minnesota_UnitedStates
26,8003.0,Alamosa,Colorado,Alamosa_Colorado_UnitedStates
30,26001.0,Alcona,Michigan,Alcona_Michigan_UnitedStates
31,28003.0,Alcorn,Mississippi,Alcorn_Mississippi_UnitedStates
32,2013.0,AleutiansEast,Alaska,AleutiansEast_Alaska_UnitedStates
33,2016.0,AleutiansWest,Alaska,AleutiansWest_Alaska_UnitedStates
34,17003.0,Alexander,Illinois,Alexander_Illinois_UnitedStates
37,40003.0,Alfalfa,Oklahoma,Alfalfa_Oklahoma_UnitedStates
38,26003.0,Alger,Michigan,Alger_Michigan_UnitedStates
39,19005.0,Allamakee,Iowa,Allamakee_Iowa_UnitedStates
42,36003.0,Allegany,NewYork,Allegany_NewYork_UnitedStates
43,37005.0,Alleghany,NorthCarolina,Alleghany_NorthCarolina_UnitedStates
44,51005.0,Alleghany,Virginia,Alleghany_Virginia_UnitedStates
47,20001.0,Allen,Kansas,Allen_Kansas_UnitedStates
49,22003.0,Allen,Louisiana,Allen_Louisiana_UnitedStates
51,45005.0,Allendale,SouthCarolina,Allendale_SouthCarolina_UnitedStates
52,26007.0,Alpena,Michigan,Alpena_Michigan_UnitedStates
53,6003.0,Alpine,California,Alpine_California_UnitedStates
54,6005.0,Amador,California,Amador_California_UnitedStates
59,20003.0,Anderson,Kansas,Anderson_Kansas_UnitedStates
63,48001.0,Anderson,Texas,Anderson_Texas_UnitedStates
67,48005.0,Angelina,Texas,Angelina_Texas_UnitedStates
70,37007.0,Anson,NorthCarolina,Anson_NorthCarolina_UnitedStates
71,31003.0,Antelope,Nebraska,Antelope_Nebraska_UnitedStates
72,26009.0,Antrim,Michigan,Antrim_Michigan_UnitedStates
73,4001.0,Apache,Arizona,Apache_Arizona_UnitedStates
74,19007.0,Appanoose,Iowa,Appanoose_Iowa_UnitedStates
75,13001.0,Appling,Georgia,Appling_Georgia_UnitedStates
80,8007.0,Archuleta,Colorado,Archuleta_Colorado_UnitedStates
81,26011.0,Arenac,Michigan,Arenac_Michigan_UnitedStates
82,5001.0,Arkansas,Arkansas,Arkansas_Arkansas_UnitedStates
85,48011.0,Armstrong,Texas,Armstrong_Texas_UnitedStates
86,23003.0,Aroostook,Maine,Aroostook_Maine_UnitedStates
87,31005.0,Arthur,Nebraska,Arthur_Nebraska_UnitedStates
89,37009.0,Ashe,NorthCarolina,Ashe_NorthCarolina_UnitedStates
91,55003.0,Ashland,Wisconsin,Ashland_Wisconsin_UnitedStates
92,5003.0,Ashley,Arkansas,Ashley_Arkansas_UnitedStates
95,22007.0,Assumption,Louisiana,Assumption_Louisiana_UnitedStates
98,29005.0,Atchison,Missouri,Atchison_Missouri_UnitedStates
100,13003.0,Atkinson,Georgia,Atkinson_Georgia_UnitedStates
102,40005.0,Atoka,Oklahoma,Atoka_Oklahoma_UnitedStates
103,28007.0,Attala,Mississippi,Attala_Mississippi_UnitedStates
105,19009.0,Audubon,Iowa,Audubon_Iowa_UnitedStates
108,46003.0,Aurora,SouthDakota,Aurora_SouthDakota_UnitedStates
111,37011.0,Avery,NorthCarolina,Avery_NorthCarolina_UnitedStates
112,22009.0,Avoyelles,Louisiana,Avoyelles_Louisiana_UnitedStates
