fips_code,county,state,c3_data_id,feb_cases,mar_cases,apr_cases,may_cases,june_cases,july_cases,aug_cases,sept_cases,oct_cases,nov_cases
51001.0,Accomack,Virginia,Accomack_Virginia_UnitedStates,0.0,7.0,264.0,909.0,1042.0,1074.0,1145.0,1182.0,1223.0,1248.0
19001.0,Adair,Iowa,Adair_Iowa_UnitedStates,0.0,1.0,1.0,9.0,15.0,20.0,49.0,76.0,220.0,329.0
21001.0,Adair,Kentucky,Adair_Kentucky_UnitedStates,0.0,0.0,81.0,97.0,117.0,201.0,260.0,316.0,455.0,570.0
29001.0,Adair,Missouri,Adair_Missouri_UnitedStates,0.0,2.0,12.0,55.0,90.0,132.0,229.0,350.0,519.0,817.0
40001.0,Adair,Oklahoma,Adair_Oklahoma_UnitedStates,0.0,4.0,64.0,87.0,115.0,283.0,447.0,639.0,850.0,971.0
16003.0,Adams,Idaho,Adams_Idaho_UnitedStates,0.0,0.0,3.0,3.0,11.0,18.0,25.0,29.0,65.0,89.0
17001.0,Adams,Illinois,Adams_Illinois_UnitedStates,0.0,2.0,40.0,44.0,87.0,393.0,771.0,1199.0,2136.0,3408.0
19003.0,Adams,Iowa,Adams_Iowa_UnitedStates,0.0,0.0,0.0,7.0,8.0,15.0,22.0,38.0,86.0,126.0
28001.0,Adams,Mississippi,Adams_Mississippi_UnitedStates,0.0,10.0,133.0,199.0,263.0,565.0,791.0,949.0,1093.0,1214.0
38001.0,Adams,NorthDakota,Adams_NorthDakota_UnitedStates,0.0,0.0,0.0,0.0,0.0,2.0,4.0,21.0,90.0,124.0
39001.0,Adams,Ohio,Adams_Ohio_UnitedStates,0.0,0.0,4.0,10.0,21.0,53.0,93.0,139.0,204.0,479.0
55001.0,Adams,Wisconsin,Adams_Wisconsin_UnitedStates,0.0,0.0,4.0,4.0,19.0,69.0,112.0,259.0,576.0,880.0
50001.0,Addison,Vermont,Addison_Vermont_UnitedStates,0.0,23.0,61.0,64.0,68.0,71.0,81.0,84.0,120.0,147.0
27001.0,Aitkin,Minnesota,Aitkin_Minnesota_UnitedStates,0.0,0.0,1.0,8.0,14.0,27.0,48.0,88.0,224.0,418.0
8003.0,Alamosa,Colorado,Alamosa_Colorado_UnitedStates,0.0,1.0,10.0,76.0,191.0,224.0,238.0,244.0,339.0,440.0
26001.0,Alcona,Michigan,Alcona_Michigan_UnitedStates,0.0,0.0,4.0,15.0,22.0,28.0,34.0,47.0,55.0,82.0
28003.0,Alcorn,Mississippi,Alcorn_Mississippi_UnitedStates,0.0,3.0,10.0,17.0,55.0,335.0,630.0,834.0,1103.0,1285.0
2013.0,AleutiansEast,Alaska,AleutiansEast_Alaska_UnitedStates,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,16.0,20.0
2016.0,AleutiansWest,Alaska,AleutiansWest_Alaska_UnitedStates,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,99.0,105.0
17003.0,Alexander,Illinois,Alexander_Illinois_UnitedStates,0.0,0.0,3.0,8.0,22.0,35.0,44.0,85.0,147.0,202.0
40003.0,Alfalfa,Oklahoma,Alfalfa_Oklahoma_UnitedStates,0.0,0.0,1.0,1.0,1.0,4.0,13.0,72.0,122.0,162.0
26003.0,Alger,Michigan,Alger_Michigan_UnitedStates,0.0,0.0,0.0,0.0,3.0,8.0,17.0,19.0,121.0,166.0
19005.0,Allamakee,Iowa,Allamakee_Iowa_UnitedStates,0.0,7.0,89.0,121.0,124.0,148.0,178.0,265.0,428.0,587.0
36003.0,Allegany,NewYork,Allegany_NewYork_UnitedStates,0.0,9.0,35.0,45.0,59.0,74.0,89.0,114.0,224.0,589.0
37005.0,Alleghany,NorthCarolina,Alleghany_NorthCarolina_UnitedStates,0.0,2.0,3.0,16.0,31.0,67.0,203.0,237.0,311.0,356.0
51005.0,Alleghany,Virginia,Alleghany_Virginia_UnitedStates,0.0,1.0,6.0,20.0,31.0,56.0,65.0,79.0,123.0,228.0
20001.0,Allen,Kansas,Allen_Kansas_UnitedStates,0.0,0.0,0.0,1.0,4.0,14.0,21.0,40.0,112.0,240.0
22003.0,Allen,Louisiana,Allen_Louisiana_UnitedStates,0.0,15.0,90.0,184.0,304.0,1036.0,1447.0,1596.0,1823.0,1918.0
45005.0,Allendale,SouthCarolina,Allendale_SouthCarolina_UnitedStates,0.0,0.0,10.0,35.0,48.0,173.0,294.0,396.0,425.0,440.0
26007.0,Alpena,Michigan,Alpena_Michigan_UnitedStates,0.0,0.0,82.0,94.0,120.0,125.0,132.0,148.0,180.0,250.0
6003.0,Alpine,California,Alpine_California_UnitedStates,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,30.0
6005.0,Amador,California,Amador_California_UnitedStates,0.0,2.0,8.0,19.0,22.0,115.0,280.0,296.0,344.0,392.0
20003.0,Anderson,Kansas,Anderson_Kansas_UnitedStates,0.0,0.0,0.0,1.0,4.0,27.0,34.0,74.0,203.0,308.0
48001.0,Anderson,Texas,Anderson_Texas_UnitedStates,0.0,1.0,29.0,72.0,1032.0,2196.0,2502.0,2832.0,2922.0,3041.0
48005.0,Angelina,Texas,Angelina_Texas_UnitedStates,0.0,5.0,53.0,205.0,476.0,1606.0,2005.0,2163.0,2277.0,2405.0
37007.0,Anson,NorthCarolina,Anson_NorthCarolina_UnitedStates,0.0,1.0,25.0,65.0,128.0,301.0,441.0,616.0,702.0,796.0
31003.0,Antelope,Nebraska,Antelope_Nebraska_UnitedStates,0.0,1.0,2.0,8.0,9.0,18.0,25.0,80.0,164.0,187.0
26009.0,Antrim,Michigan,Antrim_Michigan_UnitedStates,0.0,3.0,10.0,12.0,18.0,36.0,60.0,72.0,143.0,253.0
4001.0,Apache,Arizona,Apache_Arizona_UnitedStates,0.0,16.0,449.0,1524.0,2337.0,2994.0,3338.0,3554.0,4003.0,4293.0
19007.0,Appanoose,Iowa,Appanoose_Iowa_UnitedStates,0.0,1.0,2.0,15.0,20.0,40.0,85.0,144.0,258.0,581.0
13001.0,Appling,Georgia,Appling_Georgia_UnitedStates,0.0,2.0,70.0,159.0,258.0,555.0,886.0,1040.0,1179.0,1301.0
8007.0,Archuleta,Colorado,Archuleta_Colorado_UnitedStates,0.0,1.0,8.0,8.0,8.0,32.0,48.0,54.0,68.0,78.0
26011.0,Arenac,Michigan,Arenac_Michigan_UnitedStates,0.0,1.0,24.0,34.0,38.0,40.0,59.0,71.0,111.0,199.0
5001.0,Arkansas,Arkansas,Arkansas_Arkansas_UnitedStates,0.0,1.0,2.0,6.0,28.0,189.0,283.0,426.0,709.0,818.0
48011.0,Armstrong,Texas,Armstrong_Texas_UnitedStates,0.0,0.0,2.0,3.0,3.0,5.0,11.0,13.0,21.0,37.0
