fips_code,February,March,April,May,June,July,August,September,October,November
51001.0,0.0,7.0,257.0,645.0,133.0,32.0,71.0,37.0,41.0,30.0
19001.0,0.0,1.0,0.0,8.0,6.0,5.0,29.0,27.0,144.0,122.0
21001.0,0.0,0.0,81.0,16.0,20.0,84.0,59.0,56.0,139.0,141.0
29001.0,0.0,2.0,10.0,43.0,35.0,42.0,97.0,121.0,169.0,298.0
40001.0,0.0,4.0,60.0,23.0,28.0,168.0,164.0,192.0,211.0,121.0
16003.0,0.0,0.0,3.0,0.0,8.0,7.0,7.0,4.0,36.0,22.0
17001.0,0.0,2.0,38.0,4.0,43.0,306.0,378.0,428.0,937.0,1321.0
19003.0,0.0,0.0,0.0,7.0,1.0,7.0,7.0,16.0,48.0,48.0
28001.0,0.0,10.0,123.0,66.0,64.0,302.0,226.0,158.0,144.0,129.0
38001.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,69.0,39.0
39001.0,0.0,0.0,4.0,6.0,11.0,32.0,40.0,46.0,65.0,275.0
55001.0,0.0,0.0,4.0,0.0,15.0,50.0,43.0,147.0,317.0,312.0
50001.0,0.0,23.0,38.0,3.0,4.0,3.0,10.0,3.0,36.0,28.0
27001.0,0.0,0.0,1.0,7.0,6.0,13.0,21.0,40.0,136.0,234.0
8003.0,0.0,1.0,9.0,66.0,115.0,33.0,14.0,6.0,95.0,110.0
26001.0,0.0,0.0,4.0,11.0,7.0,6.0,6.0,13.0,8.0,37.0
28003.0,0.0,3.0,7.0,7.0,38.0,280.0,295.0,204.0,269.0,204.0
2013.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,4.0
2016.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,91.0,6.0
17003.0,0.0,0.0,3.0,5.0,14.0,13.0,9.0,41.0,62.0,62.0
40003.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,59.0,50.0,42.0
26003.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,2.0,102.0,50.0
19005.0,0.0,7.0,82.0,32.0,3.0,24.0,30.0,87.0,163.0,178.0
36003.0,0.0,9.0,26.0,10.0,14.0,15.0,15.0,25.0,110.0,365.0
37005.0,0.0,2.0,1.0,13.0,15.0,36.0,136.0,34.0,74.0,48.0
51005.0,0.0,1.0,5.0,14.0,11.0,25.0,9.0,14.0,44.0,111.0
20001.0,0.0,0.0,0.0,1.0,3.0,10.0,7.0,19.0,72.0,128.0
22003.0,0.0,15.0,75.0,94.0,120.0,732.0,411.0,149.0,227.0,95.0
45005.0,0.0,0.0,10.0,25.0,13.0,125.0,121.0,102.0,29.0,15.0
26007.0,0.0,0.0,82.0,12.0,26.0,5.0,7.0,16.0,32.0,117.0
6003.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0
6005.0,0.0,2.0,6.0,11.0,3.0,93.0,165.0,16.0,48.0,53.0
20003.0,0.0,0.0,0.0,1.0,3.0,23.0,7.0,40.0,129.0,105.0
48001.0,0.0,1.0,28.0,43.0,960.0,1164.0,306.0,330.0,90.0,123.0
48005.0,0.0,5.0,48.0,152.0,271.0,1130.0,399.0,158.0,114.0,128.0
37007.0,0.0,1.0,24.0,40.0,63.0,173.0,140.0,175.0,86.0,94.0
31003.0,0.0,1.0,1.0,6.0,1.0,9.0,7.0,55.0,84.0,23.0
26009.0,0.0,3.0,7.0,2.0,6.0,18.0,24.0,12.0,71.0,116.0
4001.0,0.0,16.0,433.0,1075.0,813.0,657.0,344.0,216.0,449.0,361.0
19007.0,0.0,1.0,1.0,13.0,5.0,20.0,45.0,59.0,114.0,347.0
13001.0,0.0,2.0,68.0,89.0,99.0,297.0,331.0,154.0,139.0,117.0
8007.0,0.0,1.0,7.0,0.0,0.0,24.0,16.0,6.0,14.0,26.0
26011.0,0.0,1.0,23.0,10.0,4.0,2.0,19.0,12.0,40.0,104.0
5001.0,0.0,1.0,1.0,4.0,22.0,161.0,94.0,143.0,283.0,124.0
