proportionAIAN,proportionAsian,proportionBlack,proportionNHPI,proportionTwoOrMore,proportionWhite,parent.id
0.003375768,0.004189206,0.27660959,0.000203359,0.01390979,0.701712287,Abbeville_SouthCarolina_UnitedStates
0.003873726,0.003134343,0.181824027,0.000305397,0.015768155,0.795094352,Acadia_Louisiana_UnitedStates
0.006936558,0.007980111,0.285994905,0.001596022,0.017433473,0.68005893,Accomack_Virginia_UnitedStates
0.008042426,0.02722052,0.013533462,0.002278332,0.029116997,0.919808262,Ada_Idaho_UnitedStates
0.002544529,0.005089059,0.004947696,0.000424088,0.009612666,0.977381962,Adair_Iowa_UnitedStates
0.002812646,0.003854367,0.029532788,0.000416688,0.014063232,0.949320277,Adair_Kentucky_UnitedStates
0.003414979,0.025278694,0.031990893,0.000667295,0.019508557,0.919139582,Adair_Missouri_UnitedStates
0.460448164,0.007964363,0.00611951,0.000719942,0.102816775,0.421931246,Adair_Oklahoma_UnitedStates
0.022741584,0.044286346,0.039068825,0.002155063,0.03155935,0.860188832,Adams_Colorado_UnitedStates
0.01511573,0.008266415,0.003542749,0.004251299,0.024090694,0.944733113,Adams_Idaho_UnitedStates
0.002788656,0.009021227,0.038538317,0.000289533,0.020023467,0.929338799,Adams_Illinois_UnitedStates
0.003146509,0.003680292,0.005927799,0.000477595,0.009018121,0.977749684,Adams_Indiana_UnitedStates
0.00521405,0.00740944,0.003567508,0.000274424,0.007135016,0.976399561,Adams_Iowa_UnitedStates
0.0052184,0.005572735,0.534660482,0.000257699,0.010469012,0.443821672,Adams_Mississippi_UnitedStates
0.012978359,0.013263946,0.012629308,0.001047154,0.012724503,0.94735673,Adams_Nebraska_UnitedStates
0.007029877,0.02943761,0.008347979,0.000439367,0.018453427,0.93629174,Adams_NorthDakota_UnitedStates
0.005560771,0.003466455,0.004874702,0.000144436,0.014696324,0.971257312,Adams_Ohio_UnitedStates
0.003997594,0.008412412,0.02002678,0.000456036,0.015010382,0.952096796,Adams_Pennsylvania_UnitedStates
0.062880016,0.013731253,0.019862181,0.001165383,0.015960681,0.886400486,Adams_Washington_UnitedStates
0.011995477,0.00658768,0.032446782,0.000393294,0.013273684,0.935303082,Adams_Wisconsin_UnitedStates
0.002793372,0.018333198,0.013207496,0.000433922,0.019851924,0.945380088,Addison_Vermont_UnitedStates
0.005559195,0.011785257,0.252459442,0.000649163,0.020897143,0.7086498,Aiken_SouthCarolina_UnitedStates
0.02631082,0.003210172,0.004594952,0.000314723,0.015799081,0.949770252,Aitkin_Minnesota_UnitedStates
0.003600507,0.061130515,0.206865513,0.000788541,0.028837535,0.69877739,Alachua_Florida_UnitedStates
0.014239043,0.017319865,0.206571219,0.000816748,0.022004156,0.739048969,Alamance_NorthCarolina_UnitedStates
0.010708826,0.31679442,0.111496824,0.009495091,0.05335034,0.498154499,Alameda_California_UnitedStates
0.053975874,0.015694239,0.019387001,0.002400295,0.032804037,0.875738552,Alamosa_Colorado_UnitedStates
