,2020-09-01,2020-10-01,2020-11-01
Abbeville_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,591.0,760.0,0.0
Abbeville_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Acadia_Louisiana_UnitedStates.NYT_ConfirmedCases.data,2969.0,3169.0,0.0
Acadia_Louisiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adair_Iowa_UnitedStates.NYT_ConfirmedCases.data,76.0,178.0,0.0
Adair_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adair_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,639.0,850.0,0.0
Adair_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Idaho_UnitedStates.NYT_ConfirmedCases.data,29.0,58.0,0.0
Adams_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Colorado_UnitedStates.NYT_ConfirmedCases.data,9433.0,15216.0,0.0
Adams_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Ada_Idaho_UnitedStates.NYT_ConfirmedCases.data,13129.0,17326.0,0.0
Ada_Idaho_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adair_Kentucky_UnitedStates.NYT_ConfirmedCases.data,325.0,512.0,0.0
Adair_Kentucky_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adair_Missouri_UnitedStates.NYT_ConfirmedCases.data,369.0,550.0,0.0
Adair_Missouri_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Accomack_Virginia_UnitedStates.NYT_ConfirmedCases.data,1182.0,1223.0,0.0
Accomack_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Nebraska_UnitedStates.NYT_ConfirmedCases.data,574.0,803.0,0.0
Adams_Nebraska_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_NorthDakota_UnitedStates.NYT_ConfirmedCases.data,21.0,62.0,0.0
Adams_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Illinois_UnitedStates.NYT_ConfirmedCases.data,1199.0,2285.0,0.0
Adams_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Ohio_UnitedStates.NYT_ConfirmedCases.data,139.0,265.0,0.0
Adams_Ohio_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Washington_UnitedStates.NYT_ConfirmedCases.data,866.0,917.0,0.0
Adams_Washington_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Indiana_UnitedStates.NYT_ConfirmedCases.data,287.0,473.0,0.0
Adams_Indiana_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Iowa_UnitedStates.NYT_ConfirmedCases.data,38.0,86.0,0.0
Adams_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Mississippi_UnitedStates.NYT_ConfirmedCases.data,949.0,1119.0,0.0
Adams_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Wisconsin_UnitedStates.NYT_ConfirmedCases.data,274.0,535.0,0.0
Adams_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Adams_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,852.0,1118.0,0.0
Adams_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alamosa_Colorado_UnitedStates.NYT_ConfirmedCases.data,244.0,288.0,0.0
Alamosa_Colorado_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alamance_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,3977.0,5376.0,0.0
Alamance_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alachua_Florida_UnitedStates.NYT_ConfirmedCases.data,8293.0,10582.0,0.0
Alachua_Florida_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Albany_Wyoming_UnitedStates.NYT_ConfirmedCases.data,575.0,1520.0,0.0
Albany_Wyoming_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Albemarle_Virginia_UnitedStates.NYT_ConfirmedCases.data,1306.0,1570.0,0.0
Albemarle_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Aitkin_Minnesota_UnitedStates.NYT_ConfirmedCases.data,88.0,214.0,0.0
Aitkin_Minnesota_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Albany_NewYork_UnitedStates.NYT_ConfirmedCases.data,3120.0,3660.0,0.0
Albany_NewYork_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alameda_California_UnitedStates.NYT_ConfirmedCases.data,21404.0,23897.0,0.0
Alameda_California_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Addison_Vermont_UnitedStates.NYT_ConfirmedCases.data,84.0,120.0,0.0
Addison_Vermont_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Aiken_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data,4281.0,5111.0,0.0
Aiken_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alexander_Illinois_UnitedStates.NYT_ConfirmedCases.data,85.0,147.0,0.0
Alexander_Illinois_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alfalfa_Oklahoma_UnitedStates.NYT_ConfirmedCases.data,72.0,127.0,0.0
Alfalfa_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
AleutiansWest_Alaska_UnitedStates.NYT_ConfirmedCases.data,0.0,0.0,0.0
AleutiansWest_Alaska_UnitedStates.NYT_ConfirmedCases.missing,100,100,100
AleutiansEast_Alaska_UnitedStates.NYT_ConfirmedCases.data,0.0,0.0,0.0
AleutiansEast_Alaska_UnitedStates.NYT_ConfirmedCases.missing,100,100,100
Alexandria_Virginia_UnitedStates.NYT_ConfirmedCases.data,3852.0,4144.0,0.0
Alexandria_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allamakee_Iowa_UnitedStates.NYT_ConfirmedCases.data,266.0,360.0,0.0
Allamakee_Iowa_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alcona_Michigan_UnitedStates.NYT_ConfirmedCases.data,47.0,55.0,0.0
Alcona_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alger_Michigan_UnitedStates.NYT_ConfirmedCases.data,19.0,118.0,0.0
Alger_Michigan_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alexander_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data,534.0,851.0,0.0
Alexander_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alcorn_Mississippi_UnitedStates.NYT_ConfirmedCases.data,834.0,1021.0,0.0
Alcorn_Mississippi_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegany_Maryland_UnitedStates.NYT_ConfirmedCases.data,474.0,766.0,0.0
Allegany_Maryland_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegany_NewYork_UnitedStates.NYT_ConfirmedCases.data,114.0,336.0,0.0
Allegany_NewYork_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.data,79.0,92.0,0.0
Alleghany_Virginia_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data,12348.0,15101.0,0.0
Allegheny_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing,0,0,100
