,hospitalIcuBeds,hospitalStaffedBeds,hospitalLicensedBeds,latestTotalPopulation,populationOfAllChildren,latestLaborForce,latestEmployedPopulation,latestUnemployedPopulation,latestUnemploymentRate,laborForceOfAllChildren,locationType,populationCDS,id,name,typeIdent,location.value.id,location.timestamp,fips.id
0,6.0,25.0,25.0,24527.0,24527.0,10090.0,9633.0,457.0,4.529236868186323,10090.0,county,24527.0,Abbeville_SouthCarolina_UnitedStates,Abbeville,EP_LOC,Abbeville_SouthCarolina_UnitedStates,2020-11-11T00:00:00Z,45001.0
1,7.0,171.0,186.0,62045.0,62045.0,24074.0,22369.0,1705.0,7.082329484090719,24074.0,county,62045.0,Acadia_Louisiana_UnitedStates,Acadia,EP_LOC,Acadia_Louisiana_UnitedStates,2020-11-11T00:00:00Z,22001.0
2,10.0,46.0,52.0,32316.0,32316.0,16001.0,15096.0,905.0,5.655896506468346,16001.0,county,32316.0,Accomack_Virginia_UnitedStates,Accomack,EP_LOC,Accomack_Virginia_UnitedStates,2020-11-11T00:00:00Z,51001.0
3,97.0,1195.0,1305.0,481587.0,481587.0,263531.0,248015.0,15516.0,5.887732373041501,263531.0,county,481587.0,Ada_Idaho_UnitedStates,Ada,EP_LOC,Ada_Idaho_UnitedStates,2020-11-11T00:00:00Z,16001.0
4,4.0,25.0,25.0,7152.0,7152.0,3862.0,3747.0,115.0,2.977731745209736,3862.0,county,7152.0,Adair_Iowa_UnitedStates,Adair,EP_LOC,Adair_Iowa_UnitedStates,2020-11-11T00:00:00Z,19001.0
5,,,,19202.0,19202.0,6523.0,6164.0,359.0,5.503602636823548,6523.0,county,19202.0,Adair_Kentucky_UnitedStates,Adair,EP_LOC,Adair_Kentucky_UnitedStates,2020-11-11T00:00:00Z,21001.0
6,10.0,51.0,93.0,25343.0,25343.0,10077.0,9776.0,301.0,2.987000099235884,10077.0,county,25343.0,Adair_Missouri_UnitedStates,Adair,EP_LOC,Adair_Missouri_UnitedStates,2020-11-11T00:00:00Z,29001.0
7,5.0,30.0,67.0,22194.0,22194.0,8290.0,7881.0,409.0,4.933655006031363,8290.0,county,22194.0,Adair_Oklahoma_UnitedStates,Adair,EP_LOC,Adair_Oklahoma_UnitedStates,2020-11-11T00:00:00Z,40001.0
8,232.0,1454.0,1559.0,517421.0,517421.0,280667.0,260961.0,19706.0,7.0211318038814685,280667.0,county,517421.0,Adams_Colorado_UnitedStates,Adams,EP_LOC,Adams_Colorado_UnitedStates,2020-11-11T00:00:00Z,8001.0
9,,,,4294.0,4294.0,1908.0,1754.0,154.0,8.071278825995806,1908.0,county,4294.0,Adams_Idaho_UnitedStates,Adams,EP_LOC,Adams_Idaho_UnitedStates,2020-11-11T00:00:00Z,16003.0
10,25.0,248.0,307.0,65435.0,65435.0,32111.0,30388.0,1723.0,5.365762511288966,32111.0,county,65435.0,Adams_Illinois_UnitedStates,Adams,EP_LOC,Adams_Illinois_UnitedStates,2020-11-11T00:00:00Z,17001.0
11,4.0,25.0,25.0,35777.0,35777.0,16758.0,16170.0,588.0,3.5087719298245608,16758.0,county,35777.0,Adams_Indiana_UnitedStates,Adams,EP_LOC,Adams_Indiana_UnitedStates,2020-11-11T00:00:00Z,18001.0
12,4.0,22.0,22.0,3602.0,3602.0,1995.0,1925.0,70.0,3.5087719298245608,1995.0,county,3602.0,Adams_Iowa_UnitedStates,Adams,EP_LOC,Adams_Iowa_UnitedStates,2020-11-11T00:00:00Z,19003.0
13,15.0,147.0,159.0,30693.0,30693.0,11571.0,10440.0,1131.0,9.774436090225564,11571.0,county,30693.0,Adams_Mississippi_UnitedStates,Adams,EP_LOC,Adams_Mississippi_UnitedStates,2020-11-11T00:00:00Z,28001.0
14,10.0,127.0,200.0,31363.0,31363.0,16643.0,16192.0,451.0,2.7098479841374754,16643.0,county,31363.0,Adams_Nebraska_UnitedStates,Adams,EP_LOC,Adams_Nebraska_UnitedStates,2020-11-11T00:00:00Z,31001.0
15,4.0,25.0,25.0,2216.0,2216.0,1004.0,972.0,32.0,3.187250996015936,1004.0,county,2216.0,Adams_NorthDakota_UnitedStates,Adams,EP_LOC,Adams_NorthDakota_UnitedStates,2020-11-11T00:00:00Z,38001.0
16,4.0,25.0,25.0,27698.0,27698.0,10834.0,9925.0,909.0,8.390252907513384,10834.0,county,27698.0,Adams_Ohio_UnitedStates,Adams,EP_LOC,Adams_Ohio_UnitedStates,2020-11-11T00:00:00Z,39001.0
17,8.0,76.0,76.0,103009.0,103009.0,55095.0,52345.0,2750.0,4.991378527997097,55095.0,county,103009.0,Adams_Pennsylvania_UnitedStates,Adams,EP_LOC,Adams_Pennsylvania_UnitedStates,2020-11-11T00:00:00Z,42001.0
18,5.0,28.0,69.0,19983.0,19983.0,10425.0,9892.0,533.0,5.112709832134293,10425.0,county,19983.0,Adams_Washington_UnitedStates,Adams,EP_LOC,Adams_Washington_UnitedStates,2020-11-11T00:00:00Z,53001.0
19,4.0,25.0,25.0,20220.0,20220.0,8057.0,7515.0,542.0,6.727069628894129,8057.0,county,20220.0,Adams_Wisconsin_UnitedStates,Adams,EP_LOC,Adams_Wisconsin_UnitedStates,2020-11-11T00:00:00Z,55001.0
20,4.0,25.0,45.0,36777.0,36777.0,19526.0,18879.0,647.0,3.31353067704599,19526.0,county,36777.0,Addison_Vermont_UnitedStates,Addison,EP_LOC,Addison_Vermont_UnitedStates,2020-11-11T00:00:00Z,50001.0
21,35.0,204.0,273.0,170872.0,170872.0,73585.0,71076.0,2509.0,3.409662295304749,73585.0,county,170872.0,Aiken_SouthCarolina_UnitedStates,Aiken,EP_LOC,Aiken_SouthCarolina_UnitedStates,2020-11-11T00:00:00Z,45003.0
22,4.0,25.0,25.0,15886.0,15886.0,7123.0,6735.0,388.0,5.447143057700408,7123.0,county,15886.0,Aitkin_Minnesota_UnitedStates,Aitkin,EP_LOC,Aitkin_Minnesota_UnitedStates,2020-11-11T00:00:00Z,27001.0
23,233.0,1549.0,2050.0,269043.0,269043.0,136467.0,130622.0,5845.0,4.283086753574123,136467.0,county,269043.0,Alachua_Florida_UnitedStates,Alachua,EP_LOC,Alachua_Florida_UnitedStates,2020-11-11T00:00:00Z,12001.0
24,20.0,176.0,238.0,169509.0,169509.0,80514.0,75004.0,5510.0,6.843530317708723,80514.0,county,169509.0,Alamance_NorthCarolina_UnitedStates,Alamance,EP_LOC,Alamance_NorthCarolina_UnitedStates,2020-11-11T00:00:00Z,37001.0
25,331.0,3564.0,3464.0,1671329.0,1671329.0,806244.0,731352.0,74892.0,9.28899935999524,806244.0,county,1671329.0,Alameda_California_UnitedStates,Alameda,EP_LOC,Alameda_California_UnitedStates,2020-11-11T00:00:00Z,6001.0
26,6.0,49.0,49.0,16233.0,16233.0,8474.0,8005.0,469.0,5.53457635119188,8474.0,county,16233.0,Alamosa_Colorado_UnitedStates,Alamosa,EP_LOC,Alamosa_Colorado_UnitedStates,2020-11-11T00:00:00Z,8003.0
27,116.0,1478.0,1531.0,305506.0,305506.0,153977.0,145261.0,8716.0,5.660585671886062,153977.0,county,305506.0,Albany_NewYork_UnitedStates,Albany,EP_LOC,Albany_NewYork_UnitedStates,2020-11-11T00:00:00Z,36001.0
28,4.0,66.0,99.0,38880.0,38880.0,21831.0,21150.0,681.0,3.119417342311392,21831.0,county,38880.0,Albany_Wyoming_UnitedStates,Albany,EP_LOC,Albany_Wyoming_UnitedStates,2020-11-11T00:00:00Z,56001.0
29,18.0,240.0,266.0,109330.0,109330.0,55954.0,53179.0,2775.0,4.959430961146657,55954.0,county,109330.0,Albemarle_Virginia_UnitedStates,Albemarle,EP_LOC,Albemarle_Virginia_UnitedStates,2020-11-11T00:00:00Z,51003.0
30,,,,10405.0,10405.0,3999.0,3685.0,314.0,7.851962990747688,3999.0,county,10405.0,Alcona_Michigan_UnitedStates,Alcona,EP_LOC,Alcona_Michigan_UnitedStates,2020-11-11T00:00:00Z,26001.0
31,24.0,163.0,200.0,36953.0,36953.0,16419.0,15631.0,788.0,4.79931786345088,16419.0,county,36953.0,Alcorn_Mississippi_UnitedStates,Alcorn,EP_LOC,Alcorn_Mississippi_UnitedStates,2020-11-11T00:00:00Z,28003.0
32,,,,3337.0,3337.0,2860.0,2800.0,60.0,2.097902097902098,2860.0,county,3337.0,AleutiansEast_Alaska_UnitedStates,AleutiansEast,EP_LOC,AleutiansEast_Alaska_UnitedStates,2020-11-11T00:00:00Z,2013.0
33,,,,5634.0,5634.0,3488.0,3403.0,85.0,2.436926605504587,3488.0,county,5634.0,AleutiansWest_Alaska_UnitedStates,AleutiansWest,EP_LOC,AleutiansWest_Alaska_UnitedStates,2020-11-11T00:00:00Z,2016.0
34,,,,5761.0,5761.0,1960.0,1768.0,192.0,9.79591836734694,1960.0,county,5761.0,Alexander_Illinois_UnitedStates,Alexander,EP_LOC,Alexander_Illinois_UnitedStates,2020-11-11T00:00:00Z,17003.0
36,40.0,339.0,323.0,159428.0,159428.0,99466.0,93420.0,6046.0,6.078458970904631,99466.0,county,159428.0,Alexandria_Virginia_UnitedStates,Alexandria,EP_LOC,Alexandria_Virginia_UnitedStates,2020-11-11T00:00:00Z,51510.0
