,hospitalIcuBeds,hospitalStaffedBeds,hospitalLicensedBeds,latestTotalPopulation,populationOfAllChildren,latestLaborForce,latestEmployedPopulation,latestUnemployedPopulation,latestUnemploymentRate,laborForceOfAllChildren,locationType,populationCDS,id,name,typeIdent,location.value.id,location.timestamp,fips.id,county,state,rural_urban
0,6.0,25.0,25.0,24527.0,24527.0,10191.0,9567.0,624.0,6.123049749779217,10191.0,county,24527.0,Abbeville_SouthCarolina_UnitedStates,Abbeville,EP_LOC,Abbeville_SouthCarolina_UnitedStates,2020-11-02T00:00:00Z,45001,Abbeville,SouthCarolina,rural
1,7.0,171.0,186.0,62045.0,62045.0,24128.0,22397.0,1731.0,7.174237400530504,24128.0,county,62045.0,Acadia_Louisiana_UnitedStates,Acadia,EP_LOC,Acadia_Louisiana_UnitedStates,2020-11-02T00:00:00Z,22001,Acadia,Louisiana,urban
2,10.0,46.0,52.0,32316.0,32316.0,16786.0,15819.0,967.0,5.760753008459431,16786.0,county,32316.0,Accomack_Virginia_UnitedStates,Accomack,EP_LOC,Accomack_Virginia_UnitedStates,2020-11-02T00:00:00Z,51001,Accomack,Virginia,rural
3,97.0,1195.0,1305.0,481587.0,481587.0,259772.0,249394.0,10378.0,3.99504180589132,259772.0,county,481587.0,Ada_Idaho_UnitedStates,Ada,EP_LOC,Ada_Idaho_UnitedStates,2020-11-02T00:00:00Z,16001,Ada,Idaho,urban
4,4.0,25.0,25.0,7152.0,7152.0,3852.0,3690.0,162.0,4.205607476635514,3852.0,county,7152.0,Adair_Iowa_UnitedStates,Adair,EP_LOC,Adair_Iowa_UnitedStates,2020-11-02T00:00:00Z,19001,Adair,Iowa,rural
5,,,,19202.0,19202.0,6585.0,6058.0,527.0,8.00303720577069,6585.0,county,19202.0,Adair_Kentucky_UnitedStates,Adair,EP_LOC,Adair_Kentucky_UnitedStates,2020-11-02T00:00:00Z,21001,Adair,Kentucky,rural
6,10.0,51.0,93.0,25343.0,25343.0,10259.0,9678.0,581.0,5.663320011697047,10259.0,county,25343.0,Adair_Missouri_UnitedStates,Adair,EP_LOC,Adair_Missouri_UnitedStates,2020-11-02T00:00:00Z,29001,Adair,Missouri,rural
7,5.0,30.0,67.0,22194.0,22194.0,8103.0,7664.0,439.0,5.417746513636924,8103.0,county,22194.0,Adair_Oklahoma_UnitedStates,Adair,EP_LOC,Adair_Oklahoma_UnitedStates,2020-11-02T00:00:00Z,40001,Adair,Oklahoma,rural
8,232.0,1454.0,1559.0,517421.0,517421.0,275813.0,255175.0,20638.0,7.482605968536653,275813.0,county,517421.0,Adams_Colorado_UnitedStates,Adams,EP_LOC,Adams_Colorado_UnitedStates,2020-11-02T00:00:00Z,8001,Adams,Colorado,urban
9,,,,4294.0,4294.0,1892.0,1792.0,100.0,5.2854122621564485,1892.0,county,4294.0,Adams_Idaho_UnitedStates,Adams,EP_LOC,Adams_Idaho_UnitedStates,2020-11-02T00:00:00Z,16003,Adams,Idaho,rural
10,25.0,248.0,307.0,65435.0,65435.0,32868.0,30784.0,2084.0,6.340513569429232,32868.0,county,65435.0,Adams_Illinois_UnitedStates,Adams,EP_LOC,Adams_Illinois_UnitedStates,2020-11-02T00:00:00Z,17001,Adams,Illinois,urban
11,4.0,25.0,25.0,35777.0,35777.0,16846.0,16187.0,659.0,3.9119078713047606,16846.0,county,35777.0,Adams_Indiana_UnitedStates,Adams,EP_LOC,Adams_Indiana_UnitedStates,2020-11-02T00:00:00Z,18001,Adams,Indiana,rural
12,4.0,22.0,22.0,3602.0,3602.0,1989.0,1901.0,88.0,4.424333836098542,1989.0,county,3602.0,Adams_Iowa_UnitedStates,Adams,EP_LOC,Adams_Iowa_UnitedStates,2020-11-02T00:00:00Z,19003,Adams,Iowa,rural
13,15.0,147.0,159.0,30693.0,30693.0,10824.0,9594.0,1230.0,11.363636363636363,10824.0,county,30693.0,Adams_Mississippi_UnitedStates,Adams,EP_LOC,Adams_Mississippi_UnitedStates,2020-11-02T00:00:00Z,28001,Adams,Mississippi,rural
14,10.0,127.0,200.0,31363.0,31363.0,16538.0,16013.0,525.0,3.1745071955496433,16538.0,county,31363.0,Adams_Nebraska_UnitedStates,Adams,EP_LOC,Adams_Nebraska_UnitedStates,2020-11-02T00:00:00Z,31001,Adams,Nebraska,rural
15,4.0,25.0,25.0,2216.0,2216.0,1034.0,997.0,37.0,3.5783365570599615,1034.0,county,2216.0,Adams_NorthDakota_UnitedStates,Adams,EP_LOC,Adams_NorthDakota_UnitedStates,2020-11-02T00:00:00Z,38001,Adams,NorthDakota,rural
16,4.0,25.0,25.0,27698.0,27698.0,10921.0,9921.0,1000.0,9.156670634557274,10921.0,county,27698.0,Adams_Ohio_UnitedStates,Adams,EP_LOC,Adams_Ohio_UnitedStates,2020-11-02T00:00:00Z,39001,Adams,Ohio,rural
17,8.0,76.0,76.0,103009.0,103009.0,54516.0,50555.0,3961.0,7.265756842028028,54516.0,county,103009.0,Adams_Pennsylvania_UnitedStates,Adams,EP_LOC,Adams_Pennsylvania_UnitedStates,2020-11-02T00:00:00Z,42001,Adams,Pennsylvania,urban
18,5.0,28.0,69.0,19983.0,19983.0,10148.0,9515.0,633.0,6.237682301931415,10148.0,county,19983.0,Adams_Washington_UnitedStates,Adams,EP_LOC,Adams_Washington_UnitedStates,2020-11-02T00:00:00Z,53001,Adams,Washington,rural
19,4.0,25.0,25.0,20220.0,20220.0,8059.0,7417.0,642.0,7.966248914257352,8059.0,county,20220.0,Adams_Wisconsin_UnitedStates,Adams,EP_LOC,Adams_Wisconsin_UnitedStates,2020-11-02T00:00:00Z,55001,Adams,Wisconsin,rural
20,4.0,25.0,45.0,36777.0,36777.0,20073.0,19331.0,742.0,3.6965077467244556,20073.0,county,36777.0,Addison_Vermont_UnitedStates,Addison,EP_LOC,Addison_Vermont_UnitedStates,2020-11-02T00:00:00Z,50001,Addison,Vermont,rural
21,35.0,204.0,273.0,170872.0,170872.0,75249.0,71686.0,3563.0,4.73494664380922,75249.0,county,170872.0,Aiken_SouthCarolina_UnitedStates,Aiken,EP_LOC,Aiken_SouthCarolina_UnitedStates,2020-11-02T00:00:00Z,45003,Aiken,SouthCarolina,urban
22,4.0,25.0,25.0,15886.0,15886.0,7351.0,6812.0,539.0,7.332335736634471,7351.0,county,15886.0,Aitkin_Minnesota_UnitedStates,Aitkin,EP_LOC,Aitkin_Minnesota_UnitedStates,2020-11-02T00:00:00Z,27001,Aitkin,Minnesota,rural
23,233.0,1549.0,2050.0,269043.0,269043.0,132853.0,126345.0,6508.0,4.898647377176277,132853.0,county,269043.0,Alachua_Florida_UnitedStates,Alachua,EP_LOC,Alachua_Florida_UnitedStates,2020-11-02T00:00:00Z,12001,Alachua,Florida,urban
24,20.0,176.0,238.0,169509.0,169509.0,79078.0,73807.0,5271.0,6.665570702344521,79078.0,county,169509.0,Alamance_NorthCarolina_UnitedStates,Alamance,EP_LOC,Alamance_NorthCarolina_UnitedStates,2020-11-02T00:00:00Z,37001,Alamance,NorthCarolina,urban
25,331.0,3564.0,3464.0,1671329.0,1671329.0,806224.0,727055.0,79169.0,9.819727519895215,806224.0,county,1671329.0,Alameda_California_UnitedStates,Alameda,EP_LOC,Alameda_California_UnitedStates,2020-11-02T00:00:00Z,6001,Alameda,California,urban
26,6.0,49.0,49.0,16233.0,16233.0,7687.0,7236.0,451.0,5.867048263301678,7687.0,county,16233.0,Alamosa_Colorado_UnitedStates,Alamosa,EP_LOC,Alamosa_Colorado_UnitedStates,2020-11-02T00:00:00Z,08003,Alamosa,Colorado,rural
27,116.0,1478.0,1531.0,305506.0,305506.0,160550.0,146113.0,14437.0,8.992214263469323,160550.0,county,305506.0,Albany_NewYork_UnitedStates,Albany,EP_LOC,Albany_NewYork_UnitedStates,2020-11-02T00:00:00Z,36001,Albany,NewYork,urban
28,4.0,66.0,99.0,38880.0,38880.0,21652.0,20947.0,705.0,3.2560502493995935,21652.0,county,38880.0,Albany_Wyoming_UnitedStates,Albany,EP_LOC,Albany_Wyoming_UnitedStates,2020-11-02T00:00:00Z,56001,Albany,Wyoming,rural
29,18.0,240.0,266.0,109330.0,109330.0,56460.0,53483.0,2977.0,5.272759475735033,56460.0,county,109330.0,Albemarle_Virginia_UnitedStates,Albemarle,EP_LOC,Albemarle_Virginia_UnitedStates,2020-11-02T00:00:00Z,51003,Albemarle,Virginia,urban
30,,,,10405.0,10405.0,4051.0,3704.0,347.0,8.565786225623302,4051.0,county,10405.0,Alcona_Michigan_UnitedStates,Alcona,EP_LOC,Alcona_Michigan_UnitedStates,2020-11-02T00:00:00Z,26001,Alcona,Michigan,rural
31,24.0,163.0,200.0,36953.0,36953.0,15541.0,14662.0,879.0,5.656006691976064,15541.0,county,36953.0,Alcorn_Mississippi_UnitedStates,Alcorn,EP_LOC,Alcorn_Mississippi_UnitedStates,2020-11-02T00:00:00Z,28003,Alcorn,Mississippi,rural
32,,,,3337.0,3337.0,3400.0,3343.0,57.0,1.6764705882352942,3400.0,county,3337.0,AleutiansEast_Alaska_UnitedStates,AleutiansEast,EP_LOC,AleutiansEast_Alaska_UnitedStates,2020-11-02T00:00:00Z,2013,AleutiansEast,Alaska,rural
33,,,,5634.0,5634.0,3702.0,3621.0,81.0,2.1880064829821717,3702.0,county,5634.0,AleutiansWest_Alaska_UnitedStates,AleutiansWest,EP_LOC,AleutiansWest_Alaska_UnitedStates,2020-11-02T00:00:00Z,2016,AleutiansWest,Alaska,rural
34,,,,5761.0,5761.0,1976.0,1763.0,213.0,10.779352226720647,1976.0,county,5761.0,Alexander_Illinois_UnitedStates,Alexander,EP_LOC,Alexander_Illinois_UnitedStates,2020-11-02T00:00:00Z,17003,Alexander,Illinois,rural
35,,,,37497.0,37497.0,16585.0,15528.0,1057.0,6.373228821223997,16585.0,county,37497.0,Alexander_NorthCarolina_UnitedStates,Alexander,EP_LOC,Alexander_NorthCarolina_UnitedStates,2020-11-02T00:00:00Z,37003,Alexander,NorthCarolina,rural
36,40.0,339.0,323.0,159428.0,159428.0,100883.0,94575.0,6308.0,6.252787882993171,100883.0,county,159428.0,Alexandria_Virginia_UnitedStates,Alexandria,EP_LOC,Alexandria_Virginia_UnitedStates,2020-11-02T00:00:00Z,51510,Alexandria,Virginia,urban
37,,,,5702.0,5702.0,2767.0,2673.0,94.0,3.397181062522588,2767.0,county,5702.0,Alfalfa_Oklahoma_UnitedStates,Alfalfa,EP_LOC,Alfalfa_Oklahoma_UnitedStates,2020-11-02T00:00:00Z,40003,Alfalfa,Oklahoma,rural
