county,state,fips.id,populationCDS,rural_urban,sept_2020,oct_2020,sept_percent,oct_percent,percent_change
Abbeville,SouthCarolina,45001,24527.0,rural,13.0,17.0,0.05300281322624047,0.06931137114200676,0.016308557915766297
Acadia,Louisiana,22001,62045.0,urban,99.0,101.0,0.15956160850995244,0.16278507534853737,0.0032234668385848985
Accomack,Virginia,51001,32316.0,rural,19.0,19.0,0.058794405248174274,0.058794405248174274,0.0
Ada,Idaho,16001,481587.0,urban,148.0,180.0,0.03073172656238644,0.037376424197497024,0.006644697635110582
Adair,Iowa,19001,7152.0,rural,1.0,1.0,0.013982102908277404,0.013982102908277404,0.0
Adair,Kentucky,21001,19202.0,rural,19.0,23.0,0.09894802624726591,0.11977918966774295,0.02083116342047703
Adair,Missouri,29001,25343.0,rural,0.0,0.0,0.0,0.0,0.0
Adair,Oklahoma,40001,22194.0,rural,10.0,11.0,0.045057222672794446,0.0495629449400739,0.0045057222672794444
Adams,Colorado,08001,517421.0,urban,227.0,263.0,0.04387143158085969,0.050829015443903516,0.006957583863043827
Adams,Idaho,16003,4294.0,rural,2.0,2.0,0.04657661853749418,0.04657661853749418,0.0
Adams,Illinois,17001,65435.0,urban,11.0,26.0,0.016810575380148237,0.03973408726216856,0.022923511882020325
Adams,Indiana,18001,35777.0,rural,4.0,9.0,0.011180367275064985,0.02515582636889622,0.013975459093831232
Adams,Iowa,19003,3602.0,rural,0.0,1.0,0.0,0.027762354247640203,0.027762354247640203
Adams,Mississippi,28001,30693.0,rural,37.0,45.0,0.12054865930342423,0.1466132342879484,0.02606457498452416
Adams,Nebraska,31001,31363.0,rural,12.0,15.0,0.0382616458884673,0.047827057360584124,0.009565411472116824
Adams,NorthDakota,38001,2216.0,rural,0.0,0.0,0.0,0.0,0.0
Adams,Ohio,39001,27698.0,rural,4.0,6.0,0.014441475918838906,0.021662213878258358,0.007220737959419453
Adams,Pennsylvania,42001,103009.0,urban,26.0,31.0,0.025240512964886563,0.03009445776582629,0.004853944800939724
Adams,Washington,53001,19983.0,rural,10.0,12.0,0.05004253615573238,0.060051043386878854,0.010008507231146475
Adams,Wisconsin,55001,20220.0,rural,4.0,5.0,0.019782393669634024,0.02472799208704253,0.004945598417408506
Addison,Vermont,50001,36777.0,rural,2.0,2.0,0.005438181472115724,0.005438181472115724,0.0
Aiken,SouthCarolina,45003,170872.0,urban,82.0,87.0,0.04798913806826162,0.05091530502364343,0.0029261669553818062
Aitkin,Minnesota,27001,15886.0,rural,1.0,2.0,0.006294850812035755,0.01258970162407151,0.006294850812035755
Alachua,Florida,12001,269043.0,urban,60.0,76.0,0.02230126782707597,0.028248272580962894,0.005947004753886925
Alamance,NorthCarolina,37001,169509.0,urban,55.0,88.0,0.03244665474989528,0.051914647599832456,0.019467992849937173
Alameda,California,06001,1671329.0,urban,412.0,464.0,0.02465104117741031,0.027762337636695108,0.0031112964592847968
Alamosa,Colorado,08003,16233.0,rural,9.0,9.0,0.05544261689151728,0.05544261689151728,0.0
Albany,NewYork,36001,305506.0,urban,123.0,130.0,0.040261075068902086,0.04255235576388025,0.0022912806949781676
Albany,Wyoming,56001,38880.0,rural,0.0,5.0,0.0,0.01286008230452675,0.01286008230452675
Albemarle,Virginia,51003,109330.0,urban,21.0,24.0,0.019207902679959754,0.021951888777096862,0.0027439860971371077
Alcona,Michigan,26001,10405.0,rural,2.0,3.0,0.019221528111484865,0.028832292167227293,0.009610764055742432
Alcorn,Mississippi,28003,36953.0,rural,11.0,12.0,0.02976754255405515,0.032473682786241985,0.002706140232186832
AleutiansEast,Alaska,2013,3337.0,rural,0.0,0.0,0.0,0.0,0.0
AleutiansWest,Alaska,2016,5634.0,rural,0.0,0.0,0.0,0.0,0.0
Alexander,Illinois,17003,5761.0,rural,1.0,1.0,0.017358097552508247,0.017358097552508247,0.0
Alexander,NorthCarolina,37003,37497.0,rural,7.0,10.0,0.018668160119476224,0.02666880017068032,0.008000640051204096
Alexandria,Virginia,51510,159428.0,urban,69.0,75.0,0.04327972501693555,0.04704317936623429,0.003763454349298743
Alfalfa,Oklahoma,40003,5702.0,rural,0.0,0.0,0.0,0.0,0.0
Alger,Michigan,26003,9108.0,rural,0.0,1.0,0.0,0.010979358805445762,0.010979358805445762
Allamakee,Iowa,19005,13687.0,rural,6.0,9.0,0.04383721779791042,0.06575582669686564,0.02191860889895521
Allegan,Michigan,26005,118081.0,urban,8.0,7.0,0.006775010374234636,0.005928134077455307,-0.0008468762967793295
Allegany,Maryland,24001,70416.0,urban,23.0,24.0,0.0326630311292888,0.03408316291751875,0.0014201317882299477
Allegany,NewYork,36003,46091.0,rural,4.0,14.0,0.008678483868868108,0.03037469354103838,0.021696209672170272
Alleghany,NorthCarolina,37005,11137.0,rural,0.0,2.0,0.0,0.017958157493041214,0.017958157493041214
Alleghany,Virginia,51005,14860.0,rural,4.0,4.0,0.026917900403768503,0.026917900403768503,0.0
Allegheny,Pennsylvania,42003,1216045.0,urban,382.0,435.0,0.031413311185030164,0.035771702527455804,0.004358391342425651
Allen,Indiana,18003,379299.0,urban,216.0,248.0,0.0569471577831737,0.06538377375105128,0.008436615967877585
Allen,Kansas,20001,12369.0,rural,1.0,1.0,0.008084727948904519,0.008084727948904519,0.0
Allen,Kentucky,21003,21315.0,rural,9.0,12.0,0.0422237860661506,0.05629838142153413,0.014074595355383532
Allen,Louisiana,22003,25627.0,rural,50.0,63.0,0.1951067233776876,0.24583447145588638,0.05072774807819878
Allen,Ohio,39003,102351.0,urban,72.0,80.0,0.07034616173755019,0.07816240193061133,0.007816240193061133
Allendale,SouthCarolina,45005,8688.0,rural,6.0,7.0,0.06906077348066297,0.08057090239410682,0.01151012891344383
Alpena,Michigan,26007,28405.0,rural,14.0,14.0,0.04928709734201726,0.04928709734201726,0.0
Alpine,California,06003,1129.0,rural,0.0,0.0,0.0,0.0,0.0
Amador,California,06005,39752.0,rural,16.0,16.0,0.04024954719259408,0.04024954719259408,0.0
Amelia,Virginia,51007,13145.0,rural,5.0,6.0,0.038037276531000384,0.045644731837200456,0.007607455306200076
Amherst,Virginia,51009,31605.0,rural,4.0,6.0,0.012656225280809999,0.018984337921214997,0.006328112640404999
Amite,Mississippi,28005,12297.0,rural,10.0,13.0,0.08132064731235261,0.10571684150605838,0.02439619419370578
Anchorage,Alaska,02020,288000.0,urban,35.0,49.0,0.012152777777777778,0.017013888888888887,0.004861111111111111
Anderson,Kansas,20003,7858.0,rural,0.0,0.0,0.0,0.0,0.0
Anderson,Kentucky,21005,22747.0,rural,1.0,1.0,0.004396184112190618,0.004396184112190618,0.0
Anderson,SouthCarolina,45007,202558.0,urban,178.0,209.0,0.08787606512702535,0.1031803236603837,0.015304258533358346
Anderson,Tennessee,47001,76978.0,urban,13.0,16.0,0.016887942009405285,0.02078515939619112,0.003897217386785835
Anderson,Texas,48001,57735.0,urban,32.0,39.0,0.055425651684420194,0.06755001299038711,0.012124361305966919
Andrew,Missouri,29003,17712.0,rural,3.0,8.0,0.016937669376693765,0.045167118337850046,0.028229448961156277
Andrews,Texas,48003,18705.0,rural,9.0,10.0,0.048115477145148355,0.05346164127238706,0.005346164127238706
Androscoggin,Maine,23001,108277.0,urban,10.0,10.0,0.009235571728067826,0.009235571728067826,0.0
Angelina,Texas,48005,86715.0,urban,83.0,93.0,0.09571585077552903,0.1072478809894482,0.01153203021391916
AnneArundel,Maryland,24003,579234.0,urban,250.0,278.0,0.04316044983547236,0.04799442021704527,0.004833970381572905
Anoka,Minnesota,27003,356921.0,urban,138.0,158.0,0.03866401808803629,0.04426749897036039,0.005603480882324099
Anson,NorthCarolina,37007,24446.0,rural,6.0,11.0,0.024543892661376094,0.04499713654585617,0.02045324388448008
Antelope,Nebraska,31003,6298.0,rural,1.0,1.0,0.015878056525881232,0.015878056525881232,0.0
Antrim,Michigan,26009,23324.0,rural,0.0,0.0,0.0,0.0,0.0
Apache,Arizona,04001,71887.0,urban,165.0,171.0,0.22952689637903934,0.23787332897464075,0.00834643259560143
Appanoose,Iowa,19007,12426.0,rural,3.0,3.0,0.024142926122646062,0.024142926122646062,0.0
Appling,Georgia,13001,18386.0,rural,29.0,38.0,0.15772870662460567,0.2066789948874143,0.04895028826280866
Appomattox,Virginia,51011,15911.0,rural,3.0,6.0,0.018854880271510274,0.03770976054302055,0.018854880271510274
Aransas,Texas,48007,23510.0,rural,18.0,18.0,0.07656316461080391,0.07656316461080391,0.0
Arapahoe,Colorado,08005,656590.0,urban,372.0,402.0,0.056656360894926816,0.06122542225742092,0.004569061362494098
Archer,Texas,48009,8553.0,rural,1.0,1.0,0.011691804045364199,0.011691804045364199,0.0
Archuleta,Colorado,08007,14029.0,rural,0.0,0.0,0.0,0.0,0.0
Arenac,Michigan,26011,14883.0,rural,3.0,3.0,0.020157226365652085,0.020157226365652085,0.0
Arkansas,Arkansas,05001,17486.0,rural,9.0,16.0,0.05146974722635251,0.0915017728468489,0.040032025620496396
Arlington,Virginia,51013,236842.0,urban,150.0,154.0,0.06333336148149399,0.0650222511210005,0.0016888896395065064
Armstrong,Pennsylvania,42005,64735.0,urban,18.0,21.0,0.02780566926701166,0.03243994747818028,0.00463427821116861
Armstrong,Texas,48011,1887.0,rural,1.0,1.0,0.052994170641229466,0.052994170641229466,0.0
Aroostook,Maine,23003,67055.0,urban,1.0,1.0,0.001491313101185594,0.001491313101185594,0.0
Arthur,Nebraska,31005,463.0,rural,0.0,0.0,0.0,0.0,0.0
Ascension,Louisiana,22005,126604.0,urban,98.0,100.0,0.07740671700736154,0.07898644592587913,0.0015797289185175824
Ashe,NorthCarolina,37009,27203.0,rural,1.0,3.0,0.003676065139874279,0.011028195419622836,0.007352130279748558
